Gene,Non-unique Gene name,Annotation,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1,GCF_000170215.1,GCF_000020745.1,GCF_000022165.1,GCF_000020925.1,GCF_000007545.1,GCF_000020885.1
group_2857,,hypothetical protein,,,,,,,HFCAGB_01094,,
group_2856,,HTH merR-type domain-containing protein,,,,,,AJBGEP_04519,,,
qacL,qacL,quaternary ammonium compound efflux SMR transporter QacL,,,,,LNHIMF_04708,,,,
group_2854,,hypothetical protein,,,,,LNHIMF_00647,,,,
group_2848,,hypothetical protein,,,,,,,,GEGEGB_01978,
group_2847,,Phage tail assembly protein,,,,,,,,GEGEGB_01431,
group_2846,,hypothetical protein,,,,,,,HFCAGB_04716,,
group_2838,,Phage tail protein,ONMMKP_01329,,,,,,,,
group_2837,,Periplasmic protein,ONMMKP_00735,,,,,,,,
group_2835,,Regulatory phage protein cox,,,,,,,,,BEJGEH_02680
group_2834,,DUF2190 domain-containing protein,,,,,,,,GEGEGB_01438,
group_2833,,hypothetical protein,,,,,,,HFCAGB_00308,,
group_2832,,hypothetical protein,,,,,LNHIMF_04275,,,,
yopX,yopX,YopX protein domain-containing protein,,IKCLMC_02071,,,,,,,
group_2825,,hypothetical protein,ONMMKP_01594,,,,,,,,
group_2822,,Prophage protein,,,,,,,,GEGEGB_03584,
group_2821,,DUF2591 domain-containing protein,,IKCLMC_02370,,,,,,,
yeeU,yeeU,Antitoxin YeeU,ONMMKP_02297,,,,,,,,
group_2818,,Toxin,ONMMKP_02296,,,,,,,,
group_2815,,hypothetical protein,,,,,,,,,BEJGEH_00215
group_2814,,Prophage protein,,,,,,,HFCAGB_00583,,
group_2813,,HNH endonuclease,,,,,LNHIMF_04290,,,,
group_2812,,Rz1 lytic protein,,,,,LNHIMF_02176,,,,
group_2811,,Bacteriophage cohesive ends,,IKCLMC_00929,,,,,,,
group_2806,,hypothetical protein,,,,,,,,,BEJGEH_04242
group_2805,,Phage holin lambda family,,,,,,,HFCAGB_02200,,
group_2803,,Phage protein,,IKCLMC_00957,,,,,,,
qacEdelta1,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,ONMMKP_02963,,,,,,,,
group_2800,,Arylsulfatase,ONMMKP_02145,,,,,,,,
group_2795,,Holin,,,,,,,,GEGEGB_01450,
luxR,luxR,Bacterial regulatory proteins luxR family,,,,,,AJBGEP_04818,,,
group_2794,merT,mercuric transport protein MerT,,,,,LNHIMF_04728,,,,
group_2793,,hypothetical protein,,,,,LNHIMF_00565,,,,
merT,merT,mercuric transport protein MerT,ONMMKP_02944,,,,,,,,
group_2791,,P22,,,,,,,,,BEJGEH_01531
group_2790,,hypothetical protein,,,,,,,,GEGEGB_04575,
group_2789,,Bacteriophage protein,,,,,,,,GEGEGB_01974,
group_2788,,Lipoprotein,,,,,LNHIMF_00626,,,,
dndE,dndE,DNA sulfur modification protein DndE,,,,ODDLKH_00362,,,,,
group_2782,,hypothetical protein,,,,,,,,,BEJGEH_00903
group_2781,,hypothetical protein,,IKCLMC_02394,,,,,,,
group_2780,,Bacteriophage protein,,IKCLMC_00970,,,,,,,
group_2775,,hypothetical protein,,,,,,,,GEGEGB_04773,
group_2774,,hypothetical protein,,,,,,,,GEGEGB_04476,
group_2773,,IraD/Gp25-like domain-containing protein,,,,,,,,GEGEGB_03607,
group_2772,,4Fe-4S ferredoxin-type domain-containing protein,,,,,,AJBGEP_00636,,,
group_2771,,Acyl-CoA dehydrogenase,,,,,LNHIMF_03774,,,,
group_2770,,Integrase DNA-binding domain-containing protein,,,,ODDLKH_00356,,,,,
group_2769,,hypothetical protein,,IKCLMC_02347,,,,,,,
group_2760,,DUF4102 domain-containing protein,,,,,,,,,BEJGEH_00291
group_2759,,TIGR03745 family integrating conjugative element membrane protein,,,,,,,,GEGEGB_04498,
group_2758,merD,mercury resistance co-regulator MerD,,,,,LNHIMF_04692,,,,
group_2753,,hypothetical protein,ONMMKP_01355,,,,,,,,
group_2751,,Phage protein,,,,,,,HFCAGB_00638,,
group_2750,,Phage protein,,IKCLMC_00960,,,,,,,
group_2749,,Integrase catalytic domain-containing protein,ONMMKP_03729,,,,,,,,
merD,merD,mercury resistance co-regulator MerD,ONMMKP_02940,,,,,,,,
group_2746,,Bacteriophage protein,,,,,,,,GEGEGB_01990,
group_2745,,Phage tail protein,,,,,,,,GEGEGB_01419,
group_2744,,hypothetical protein,,,,,LNHIMF_04263,,,,
group_2743,,hypothetical protein,,,,,LNHIMF_00322,,,,
group_2739,,Antitoxin,ONMMKP_01889,,,,,,,,
group_2736,,hypothetical protein,ONMMKP_01341,,,,,,,,
yafW,yafW,Antitoxin YafW,ONMMKP_01890,,,,,,,,
group_2733,,hypothetical protein,,,,,,,,,BEJGEH_04243
group_2732,,TIGR03750 family conjugal transfer protein,,,,,,,,GEGEGB_04499,
group_2731,vapC,Ribonuclease VapC,,,,,,,,GEGEGB_03775,
group_2730,,hypothetical protein,,,,,LNHIMF_03947,,,,
group_2728,,hypothetical protein,,,,,LNHIMF_00312,,,,
group_2726,,DUF2591 domain-containing protein,,,PKJKAM_03198,,,,,,
group_2725,,DUF2591 domain-containing protein,,,PKJKAM_03171,,,,,,
group_2724,,hypothetical protein,,IKCLMC_03343,,,,,,,
group_2720,,ASCH domain-containing protein,,,,,,,,,BEJGEH_02737
group_2719,,hypothetical protein,,,,,,,,GEGEGB_04531,
group_2718,,Phage protein,,,,,,,,GEGEGB_01999,
ethD,ethD,EthD domain-containing protein,,,,,,AJBGEP_04518,,,
group_2715,,HTH cro/C1-type domain-containing protein,,,,,LNHIMF_03777,,,,
group_2713,,Lysozyme,,IKCLMC_02380,,,,,,,
group_2711,,hypothetical protein,ONMMKP_00770,,,,,,,,
group_2710,,hypothetical protein,,,,,,,,GEGEGB_04520,
group_2709,,hypothetical protein,,,,,,,,GEGEGB_04147,
group_2707,,Gp11,,IKCLMC_02391,,,,,,,
group_2706,,hypothetical protein,,IKCLMC_01438,,,,,,,
group_2700,,hypothetical protein,,,,,,,,GEGEGB_04007,
group_2699,,Prophage protein,,,,,,,,GEGEGB_01461,
group_2698,,hypothetical protein,,,,,LNHIMF_00656,,,,
group_2697,,Single-stranded DNA-binding protein,,,,,LNHIMF_00571,,,,
group_2696,,DUF3168 domain-containing protein,,IKCLMC_02396,,,,,,,
group_2693,,hypothetical protein,ONMMKP_01884,,,,,,,,
group_2692,,ACT domain-containing protein,,,,,,,,,BEJGEH_02650
group_2691,,putative periplasmic protein,,,,,,,,,BEJGEH_00297
group_2690,,Cytoplasmic protein,,,,,,,,,BEJGEH_00296
group_2689,,hypothetical protein,,,,,,,,GEGEGB_04506,
group_2688,,hypothetical protein,,,,,,,,GEGEGB_00920,
group_2687,lysR,LysR family transcriptional regulator,,,,,,,HFCAGB_02247,,
group_2686,,Lipoprotein,,,,,LNHIMF_02787,,,,
group_2685,,Transposase,,IKCLMC_03355,,,,,,,
group_2684,,Lipoprotein,,IKCLMC_03352,,,,,,,
group_2683,,Ead/Ea22-like family protein,,IKCLMC_02349,,,,,,,
group_2676,,PTS system mannose-specific transporter subunits IIAB,,,,,,,,,BEJGEH_04380
group_2675,,hypothetical protein,,,,,,,,,BEJGEH_01530
group_2674,,Head-tail adaptor,,,,,,,,GEGEGB_01987,
rdgB,rdgB,DNA-binding protein RdgB,,,,,,,,GEGEGB_01466,
group_2673,,Lysine-specific metallo-endopeptidase domain-containing protein,,,,,,,HFCAGB_00622,,
group_2671,rusA,Crossover junction endodeoxyribonuclease rusA,,,,,LNHIMF_04279,,,,
group_2670,,Type VI secretion protein,,,,,LNHIMF_03948,,,,
group_2666,,TIGR03757 family integrating conjugative element protein,,,,,,,,GEGEGB_04507,
group_2665,,DUF2570 domain-containing protein,,,,,,,HFCAGB_02198,,
group_2664,,Pyridoxamine 5'-phosphate oxidase N-terminal domain-containing protein,,,,,LNHIMF_04697,,,,
group_2663,,RNA methyltransferase,,,PKJKAM_03195,,,,,,
group_2660,,hypothetical protein,ONMMKP_02957,,,,,,,,
group_2659,,hypothetical protein,ONMMKP_01352,,,,,,,,
group_2658,,hypothetical protein,,,,,,,,GEGEGB_00923,
group_2657,,Transposase IS200-like domain-containing protein,,,,,,,HFCAGB_02970,,
group_2656,,Single-stranded DNA-binding protein,,,,,LNHIMF_00659,,,,
mcjB,mcjB,Microcin J25-processing protein McjB C-terminal domain-containing protein,ONMMKP_02977,,,,,,,,
group_2650,,hypothetical protein,ONMMKP_02284,,,,,,,,
group_2648,,DUF6950 domain-containing protein,ONMMKP_01337,,,,,,,,
group_2647,,HK97 gp10 family phage protein,ONMMKP_00745,,,,,,,,
group_2644,,DNA primase,,,,,LNHIMF_00650,,,,
group_2642,,Gp22,ONMMKP_00732,,,,,,,,
group_2641,vapC,tRNA(fMet)-specific endonuclease VapC,,,,,,,,,BEJGEH_04515
group_2640,,Type VI secretion amidase effector 2 protein,,,,,,,,GEGEGB_02717,
group_2638,,Phage protein,,,PKJKAM_01843,,,,,,
group_2637,,Phage protein,ONMMKP_04106,,,,,,,,
group_2633,,hypothetical protein,ONMMKP_01360,,,,,,,,
group_2632,,Phage tail protein,ONMMKP_01345,,,,,,,,
group_2630,,hypothetical protein,,,,,,,,,BEJGEH_04598
group_2629,,Rap1a immunity protein domain-containing protein,,,,,,,,,BEJGEH_04241
group_2628,,DNA-binding protein H-NS plasmid,,,,,,,HFCAGB_02252,,
group_2626,,Decoration protein,,,,,,,HFCAGB_00623,,
group_2624,,Fels-1 prophage protein,,,,,LNHIMF_00662,,,,
group_2623,,Phage tail protein,,IKCLMC_00964,,,,,,,
group_2622,,hypothetical protein,ONMMKP_04655,,,,,,,,
group_2615,,Eaa protein,,,PKJKAM_01845,,,,,,
group_2612,,DUF6971 domain-containing protein,,,,,,,,GEGEGB_03099,
group_2610,ninB,Recombination protein NinB,,IKCLMC_02369,,,,,,,
group_2609,,hypothetical protein,,IKCLMC_01437,,,,,,,
group_2601,,DUF4238 domain-containing protein,,,,,,,HFCAGB_01074,,
group_2600,,Head-tail adaptor,,,,,LNHIMF_04298,,,,
group_2599,,DUF1499 domain-containing protein,,,,,LNHIMF_00629,,,,
group_2598,,HTH cro/C1-type domain-containing protein,,,,ODDLKH_01655,,,,,
group_2597,,Gas vesicle protein,,IKCLMC_00949,,,,,,,
group_2594,,Secreted protein,ONMMKP_01881,,,,,,,,
group_2591,,hypothetical protein,ONMMKP_00740,,,,,,,,
group_2589,,Conjugative transfer ATPase,,,,,,,,GEGEGB_04504,
higA,higA,Antitoxin HigA,,,,,,,,,BEJGEH_01202
pilM,pilM,type IV pilus biogenesis protein PilM,,,,,,,,GEGEGB_04474,
group_2584,,DUF4054 domain-containing protein,,,,,,,,GEGEGB_01989,
group_2583,,hypothetical protein,,,,,,AJBGEP_02128,,,
group_2581,,hypothetical protein,ONMMKP_02947,,,,,,,,
group_2578,umuD,DNA polymerase V subunit UmuD,ONMMKP_00721,,,,,,,,
fosA72,fosA7.2,fosfomycin resistance glutathione transferase FosA7-2,,,,,,,,,BEJGEH_04599
merC,merC,organomercurial transporter MerC,,,,,LNHIMF_04726,,,,
group_2577,,Transmembrane protein,,,,,LNHIMF_02789,,,,
group_2576,,hypothetical protein,,,PKJKAM_03158,,,,,,
group_2572,,hypothetical protein,,,,,,,,GEGEGB_02716,
group_2571,,Bacteriophage protein,,,,,,,HFCAGB_01083,,
group_2570,,Cytoplasmic protein,,,,,LNHIMF_03771,,,,
arsC,arsC,glutaredoxin-dependent arsenate reductase,,,,,LNHIMF_00701,,,,
group_2569,,hypothetical protein,,,PKJKAM_01842,,,,,,
group_2568,,HK97 gp10 family phage protein,,IKCLMC_02395,,,,,,,
group_2567,,Putative regulator,,IKCLMC_00921,,,,,,,
group_2560,,hypothetical protein,ONMMKP_01081,,,,,,,,
group_2559,,Type VI secretion protein,,,,,,,,,BEJGEH_02163
group_2558,,Bacteriophage protein,,,,,,,,GEGEGB_01976,
vapC,vapC,tRNA(fMet)-specific endonuclease VapC,,,,,,,HFCAGB_04857,,
group_2557,,hypothetical protein,,,,,,,HFCAGB_04746,,
group_2556,,HNH endonuclease,,,,,,,HFCAGB_01345,,
group_2555,,Transmembrane protein,,IKCLMC_03354,,,,,,,
group_2550,,hypothetical protein,,,,,,,,,BEJGEH_00298
group_2549,tnp,IS200/IS605 family ISSen6 transposase,,,,,,,,,BEJGEH_00103
group_2548,,hypothetical protein,,,,,,,,GEGEGB_01452,
group_2546,,Phage protein,,,,,,,HFCAGB_01084,,
group_2542,,Putative endonuclease SegE-like GIY-YIG domain-containing protein,ONMMKP_01331,,,,,,,,
group_2540,,Periplasmic protein,,,,,,,HFCAGB_02197,,
group_2539,merR,mercury resistance transcriptional regulator MerR,,,,,LNHIMF_04729,,,,
group_2538,,hypothetical protein,,,,,LNHIMF_01607,,,,
group_2537,,hypothetical protein,,,,,LNHIMF_00644,,,,
merR,merR,mercury resistance transcriptional regulator MerR,ONMMKP_02945,,,,,,,,
group_2531,,DUF4231 domain-containing protein,,,,,,,,,BEJGEH_01974
group_2530,,Phage protein,,,,,,,HFCAGB_01087,,
group_2529,,hypothetical protein,,,,,,,HFCAGB_00305,,
group_2528,,HK97 gp10 family phage protein,,,,,LNHIMF_00612,,,,
group_2521,,Tail fiber assembly protein,,,,,,,,GEGEGB_03612,
group_2520,,DUF3277 domain-containing protein,,,,,,,,GEGEGB_01984,
group_2519,,Reverse transcriptase,,,,,LNHIMF_02782,,,,
group_2517,,Knr4/Smi1-like domain-containing protein,,,,,,,,GEGEGB_02696,
group_2516,,Mannitol-specific cryptic phosphotransferase enzyme IIA component,,,,,LNHIMF_03123,,,,
ninB,ninB,Protein ninB,,,PKJKAM_03173,,,,,,
group_2511,,DUF1240 domain-containing protein,,,,,,,,,BEJGEH_01038
group_2510,,Mu-like prophage protein gp36,,,,,,,,GEGEGB_01437,
group_2509,,Type IV secretion protein Rhs,,,,,,,HFCAGB_00310,,
group_2506,,Phage protein,,IKCLMC_00963,,,,,,,
group_2505,,DUF4054 domain-containing protein,,IKCLMC_00958,,,,,,,
group_2500,,DUF3577 domain-containing protein,,,,,,,,GEGEGB_04468,
group_2499,,Phage protein,,,,,LNHIMF_04306,,,,
group_2492,,Phage head completion protein,,,,,,,,,BEJGEH_02669
group_2491,,SLATT domain-containing protein,,,,,,,,GEGEGB_04595,
group_2490,,Beta/gamma crystallin 'Greek key' domain-containing protein,,,,,,,,GEGEGB_04522,
group_2489,,Bacteriophage protein,,,,,,,,GEGEGB_01983,
group_2488,,Rha family transcriptional regulator,,,,,,,,GEGEGB_01465,
group_2486,,Endolysin,,,,,,AJBGEP_02792,,,
group_2484,,hypothetical protein,ONMMKP_01879,,,,,,,,
group_2483,,Lipoprotein YfjS/YafY domain-containing protein,ONMMKP_01878,,,,,,,,
group_2482,,Lysozyme,ONMMKP_01332,,,,,,,,
group_2479,,Uncharacterized protein ORF151,,,,,,,,GEGEGB_02794,
group_2478,,Protein gp14,,,,,,,HFCAGB_00633,,
group_2477,,Protein gp14,,,PKJKAM_03149,,,,,,
group_2468,,hypothetical protein,,,,,,,,GEGEGB_04524,
group_2467,,hypothetical protein,,,,,,,,GEGEGB_01441,
group_2466,,DUF1795 domain-containing protein,,,PKJKAM_03477,,,,,,
yfjX,yfjX,Uncharacterized protein YfjX,ONMMKP_01885,,,,,,,,
group_2459,,Ash family protein,,,,,,,,GEGEGB_04601,
group_2458,,DNA stabilization protein,,,PKJKAM_03152,,,,,,
group_2454,,Phage membrane protein,ONMMKP_04324,,,,,,,,
group_2453,,Ash family protein,ONMMKP_03725,,,,,,,,
group_2450,,DNA-binding protein,ONMMKP_01365,,,,,,,,
group_2448,,Gp37 protein,,,,,,,,GEGEGB_01436,
group_2446,,Phage terminase small subunit P27 family,,,,,LNHIMF_04291,,,,
group_2441,,hypothetical protein,ONMMKP_01809,,,,,,,,
group_2440,,Integrase,,,,,,,,GEGEGB_04785,
group_2439,,Pili assembly chaperone,,,,,,,,GEGEGB_04487,
group_2438,,HTH cro/C1-type domain-containing protein,,,,,,AJBGEP_01253,,,
group_2437,,Integrase,,,,,LNHIMF_00706,,,,
group_2436,,Spanin inner membrane subunit,,,,,LNHIMF_00598,,,,
group_2433,,hypothetical protein,,IKCLMC_01537,,,,,,,
group_2428,,hypothetical protein,,,,,,,,,BEJGEH_04586
group_2427,,hypothetical protein,,,,,,,,,BEJGEH_04354
group_2426,,Spanin inner membrane subunit,,,,,,,HFCAGB_00619,,
group_2425,,Methyltransferase family protein,,,,,,AJBGEP_01259,,,
traB,traB,TraB,,,,,LNHIMF_04719,,,,
group_2424,,Prophage protein,,,,,LNHIMF_00577,,,,
group_2423,parB,ParB,,,PKJKAM_04029,,,,,,
group_2421,,hypothetical protein,,IKCLMC_03348,,,,,,,
group_2420,,DUF1833 domain-containing protein,,IKCLMC_02401,,,,,,,
group_2410,,Methyltransferase family protein,,,,,,,HFCAGB_02223,,
group_2409,perC,PerC family transcriptional regulator,,,,,,,HFCAGB_02207,,
group_2407,,hypothetical protein,,,,,LNHIMF_03173,,,,
dfrA1,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,ONMMKP_02965,,,,,,,,
group_2401,,phage tail tube protein,ONMMKP_01343,,,,,,,,
group_2400,,Adhesin,,,,,,,,,BEJGEH_00904
pilT,pilT,lytic transglycosylase domain-containing protein,,,,,,,,GEGEGB_04482,
group_2399,,Endolysin,,,,,,,HFCAGB_02199,,
group_2395,,Aec32,,,,,,,,,BEJGEH_01044
group_2394,,Aec32,,,,,,,HFCAGB_01190,,
group_2393,,Tyr recombinase domain-containing protein,,,,,LNHIMF_04687,,,,
group_2390,,hypothetical protein,ONMMKP_02964,,,,,,,,
group_2388,,MPN domain-containing protein,ONMMKP_01886,,,,,,,,
group_2387,,PTS mannose/fructose/sorbose transporter subunit IIB,,,,,,,,,BEJGEH_04381
group_2386,,Phage protein,,,,,,,,,BEJGEH_02668
yfgH,yfgH,YfgH,,,,,,,,GEGEGB_00384,
perC,perC,PerC family transcriptional regulator,,,,,,AJBGEP_02138,,,
group_2385,,Phosphotriesterase,,,,,LNHIMF_00310,,,,
group_2384,,hypothetical protein,,,PKJKAM_03190,,,,,,
group_2383,,DUF2190 domain-containing protein,,IKCLMC_00955,,,,,,,
group_2382,,BRCT domain-containing protein,ONMMKP_04184,,,,,,,,
vgrG,vgrG,Type VI secretion system tip protein VgrG,,,,,,,,,BEJGEH_00293
group_2380,,Large polyvalent protein-associated domain-containing protein,,,,,,,HFCAGB_01082,,
group_2379,,hypothetical protein,,,,,,AJBGEP_04837,,,
group_2378,,Spanin inner membrane subunit,,,,,,AJBGEP_02129,,,
group_2371,,tRNA-acetylating toxin 2,,,,,,,,GEGEGB_04594,
group_2370,,DNA-packaging protein,,,,,,,HFCAGB_00624,,
group_2369,,Phage antiterminator q protein,,,,,,,HFCAGB_00616,,
group_2366,,hypothetical protein,,,,,,AJBGEP_04829,,,
group_2365,,Lysozyme,,IKCLMC_00230,,,,,,,
group_2360,,hypothetical protein,,,,,,,,,BEJGEH_04379
ydaT,ydaT,Bacterial toxin YdaT domain-containing protein,,IKCLMC_00923,,,,,,,
group_2357,,Acetyltransferase gnat family,ONMMKP_02285,,,,,,,,
group_2356,,Phage protein,ONMMKP_01893,,,,,,,,
group_2354,,GlcNAc transferase,,,,,,,,,BEJGEH_01200
group_2353,,hypothetical protein,,,,,,,,GEGEGB_04885,
group_2352,,Type VI secretion system amidase effector protein Tae4,,,,,,,,GEGEGB_02710,
group_2351,,hypothetical protein,,,,,,,,GEGEGB_01692,
sfaS,sfaS,S-fimbrial adhesin protein SfaS,,,,,LNHIMF_01233,,,,
group_2350,,Outer membrane protein,,,,,LNHIMF_00316,,,,
group_2346,,Aec76,ONMMKP_01892,,,,,,,,
group_2343,,Fido domain-containing protein,,,,,,,,GEGEGB_02011,
group_2342,,Bacteriophage protein,,,,,,,,GEGEGB_01992,
group_2341,,hypothetical protein,,,,,,,HFCAGB_02232,,
group_2340,,hypothetical protein,,,,,,,HFCAGB_01090,,
group_2338,,DUF1441 domain-containing protein,,,,,LNHIMF_00671,,,,
group_2337,,DNA-binding protein,,,,,LNHIMF_00599,,,,
group_2336,,Lysozyme,,,,,LNHIMF_00596,,,,
group_2335,,Eae protein,,,,,LNHIMF_00569,,,,
group_2329,,DUF2971 domain-containing protein,,,,,,,,,BEJGEH_01984
group_2328,,Integrating conjugative element protein,,,,,,,,GEGEGB_04492,
group_2327,,Transactivation protein,,,,,,,,GEGEGB_02786,
group_2326,,Packaged DNA stabilization gp4 family protein,,,,,,,HFCAGB_00630,,
group_2324,,hypothetical protein,,,,,LNHIMF_00568,,,,
group_2320,,hypothetical protein,ONMMKP_01123,,,,,,,,
group_2318,,Phage regulatory CII family protein,,,PKJKAM_01840,,,,,,
group_2317,,Lipoprotein,,,PKJKAM_00269,,,,,,
group_2316,,Phage tail protein,,IKCLMC_02400,,,,,,,
group_2314,,Lysis protein,,IKCLMC_00231,,,,,,,
group_2311,,hypothetical protein,ONMMKP_01363,,,,,,,,
rrrD,rrrD,lysozyme RrrD,ONMMKP_00760,,,,,,,,
group_2308,,Mutator family transposase,,,,,,,,,BEJGEH_00906
group_2307,,Single-stranded DNA-binding protein,,,,,,,HFCAGB_00594,,
group_2306,,hypothetical protein,,,PKJKAM_03472,,,,,,
group_2301,,Regulatory protein CII,,,,,,,,GEGEGB_03582,
group_2300,,hypothetical protein,,,,,,,,GEGEGB_00927,
group_2298,,hypothetical protein,,IKCLMC_02386,,,,,,,
lysM,lysM,LysM peptidoglycan-binding domain-containing protein,,,,,,,,,BEJGEH_01037
group_2294,,hypothetical protein,,,,,,,,GEGEGB_03858,
group_2292,,Phage protein,,,,,LNHIMF_04299,,,,
group_2288,,Transposase,,,,,,,,GEGEGB_00928,
group_2287,,GmrSD restriction endonucleases N-terminal domain-containing protein,,,,,,AJBGEP_02151,,,
group_2276,,Tail fiber assembly protein,,,,,,,,GEGEGB_01970,
pefA,pefA,major pilin PefA,,,,,,AJBGEP_04825,,,
group_2275,,Tail fiber assembly protein,,,,,LNHIMF_00692,,,,
group_2274,,Endodeoxyribonuclease,,,,,LNHIMF_00594,,,,
group_2272,,Endodeoxyribonuclease,,IKCLMC_02377,,,,,,,
group_2270,,Transglycosylase SLT domain protein,ONMMKP_02276,,,,,,,,
group_2268,,Phage tail protein,ONMMKP_01349,,,,,,,,
group_2266,,Phage major tail tube protein,,,,,,,,GEGEGB_01433,
group_2264,,MotA/TolQ/ExbB proton channel domain-containing protein,,,,,LNHIMF_03773,,,,
group_2259,,DNA-binding protein,ONMMKP_00757,,,,,,,,
group_2256,,DUF1851 domain-containing protein,,,,,,,HFCAGB_01366,,
tnpR,tnpR,TnpR resolvase,,,,,LNHIMF_04723,,,,
group_2255,,Fimbrial-type adhesion domain-containing protein,,,,,LNHIMF_01232,,,,
group_2254,,hypothetical protein,,IKCLMC_01196,,,,,,,
group_2250,,hypothetical protein,,,,,,,,,BEJGEH_04591
group_2249,,Phage tail spike protein,,,,,,,,GEGEGB_01425,
group_2242,,Tail fiber assembly protein,,,,,,,,,BEJGEH_02655
group_2241,,Bacteriophage Mu Gam like protein,,,,,,,,GEGEGB_01457,
group_2240,,hypothetical protein,,,,,,,,GEGEGB_01451,
group_2239,,KilA-N domain-containing protein,,,,,,,HFCAGB_00620,,
group_2231,,Transposase,,,,,,,HFCAGB_04701,,
group_2229,,N-acetyltransferase domain-containing protein,,,,,LNHIMF_04260,,,,
group_2228,,hypothetical protein,,,,,LNHIMF_00670,,,,
group_2225,,Regulator,ONMMKP_02985,,,,,,,,
group_2221,,Single-stranded DNA-binding protein,,,,,,,,GEGEGB_04470,
group_2220,,hypothetical protein,,,,,LNHIMF_00668,,,,
group_2218,,hypothetical protein,ONMMKP_01868,,,,,,,,
tviA,tviA,Vi polysaccharide biosynthesis regulator TviA,,,,,,,,GEGEGB_04588,
group_2216,,Protein gp55,,,,,,,,GEGEGB_02000,
yfgI,yfgI,Uncharacterized protein YfgI,,,,,,,,GEGEGB_00383,
group_2215,,Malate transporter,,,,ODDLKH_00369,,,,,
group_2209,,GYF domain-containing protein,ONMMKP_01880,,,,,,,,
group_2206,,DUF1062 domain-containing protein,,,,,,,,GEGEGB_04514,
group_2205,,DUF2514 domain-containing protein,,,,,LNHIMF_04288,,,,
group_2204,,Lipoprotein,,,,,LNHIMF_03568,,,,
group_2202,,Fimbrial protein,,,,,LNHIMF_01237,,,,
group_2201,,SMI1/KNR4 family protein,,IKCLMC_02068,,,,,,,
group_2199,,hypothetical protein,,IKCLMC_00323,,,,,,,
group_2197,,Tunicamycin resistance protein,ONMMKP_02952,,,,,,,,
group_2194,,Terminase small subunit,ONMMKP_01351,,,,,,,,
group_2193,,Integrase catalytic domain-containing protein,,,,,,,,,BEJGEH_04572
group_2192,,hypothetical protein,,,,,,,,GEGEGB_01445,
group_2191,,Bacteriophage protein,,,,,LNHIMF_04300,,,,
group_2190,,Phage protein,,IKCLMC_00961,,,,,,,
group_2188,,Superinfection exclusion protein B,ONMMKP_04152,,,,,,,,
group_2182,,hypothetical protein,ONMMKP_02289,,,,,,,,
group_2177,,Bacteriophage protein,,,,,,,,GEGEGB_01986,
group_2176,,Exonuclease,,,,,,,HFCAGB_00593,,
group_2171,,DUF2514 domain-containing protein,,,,,,,HFCAGB_01073,,
group_2170,,Eaa protein,,,,,,AJBGEP_01244,,,
group_2169,,Lipoprotein,,,,,LNHIMF_04289,,,,
ymfL,ymfL,Uncharacterized protein YmfL,,,,,LNHIMF_04274,,,,
group_2164,,Bacteriophage protein,,,,,,,,GEGEGB_01988,
group_2162,,Phage protein,,,,,LNHIMF_02175,,,,
group_2161,,NadR/Ttd14 AAA domain-containing protein,,,,,LNHIMF_01827,,,,
group_2156,,HNH endonuclease,ONMMKP_00725,,,,,,,,
group_2155,,DUF2857 domain-containing protein,,,,,,,,GEGEGB_04461,
group_2154,,Fimbrial protein,,,,,,AJBGEP_04822,,,
rcK,rcK,complement resistance protein Rck,,,,,,AJBGEP_04814,,,
group_2150,,hypothetical protein,,,,,,,HFCAGB_00629,,
group_2147,,Transposon Tn501 resolvase,,,,,LNHIMF_04700,,,,
group_2143,,3-hexulose-6-phosphate isomerase,,,,,,,,,BEJGEH_04385
group_2142,,DNA-invertase,,,,,LNHIMF_04316,,,,
group_2141,,Helix-turn-helix domain-containing protein,,,,,LNHIMF_02790,,,,
group_2140,,Ead/Ea22-like family protein,,IKCLMC_02346,,,,,,,
group_2135,,TIGR03759 family integrating conjugative element protein,ONMMKP_02275,,,,,,,,
group_2131,,Phage polarity suppression protein,,,,,,,,GEGEGB_04760,
group_2127,,YokE-like PH domain-containing protein,,,PKJKAM_01837,,,,,,
group_2126,,Phage polarity suppression protein,,IKCLMC_04130,,,,,,,
group_2122,,Lipoprotein,ONMMKP_01877,,,,,,,,
group_2120,,Phage tail protein,ONMMKP_01339,,,,,,,,
group_2119,,3'-5' exoribonuclease,,,,,,,,,BEJGEH_02678
group_2118,,Restriction endonuclease type IV Mrr domain-containing protein,,,,,,,,GEGEGB_04493,
group_2117,,DUF4942 domain-containing protein,,,,,,,,GEGEGB_03973,
group_2116,,putative repressor protein,,,,,,,,GEGEGB_03580,
group_2115,,Fimbrial protein,,,,,,,HFCAGB_04868,,
group_2114,,hypothetical protein,,,,,LNHIMF_04720,,,,
group_2113,,Phage protein,,IKCLMC_02351,,,,,,,
group_2112,,hypothetical protein,ONMMKP_01330,,,,,,,,
group_2109,,Polarity suppression protein,,,,,,,,GEGEGB_02785,
group_2108,,Serine recombinase gin,,,,,,,,GEGEGB_01418,
group_2105,,Repressor protein CI,ONMMKP_04101,,,,,,,,
